I_b (A),I_a (10⁻⁶ A)
0,"16,9"
"0,00007189763532","16,9"
"0,0001258208618","16,9"
"0,0001977184971","17,0"
"0,0002696161325","17,0"
"0,0003325265634","17,0"
"0,0004044241987","16,7"
"0,000476321834","16,5"
"0,0005302450605","16,2"
"0,0006021426958","15,8"
"0,0006650531267","15,3"
"0,000736950762","14,8"
"0,0008178356018","14,1"
"0,0008717588283","13,6"
"0,000952643668","12,8"
"0,001006566894","12,2"
"0,00107846453","11,5"
"0,00115934937","10,7"
"0,0012222598","10,1"
"0,001294157436","9,5"
"0,001348080662","9,1"
