Volts_real,Volts_CSV,r_px,R_px,r_m,R_m,delta_r_m,delta_R_m
1.5,15,140.0,248.0000000000001,0.2016,0.35712000000000016,0.028800000000000003,0.04608
1.6,16,140.0,244.0000000000001,0.2016,0.35136000000000017,0.028800000000000003,0.051840000000000004
1.7,17,140.0,240.0000000000001,0.2016,0.3456000000000002,0.028800000000000003,0.04608
1.8,18,136.0,236.0000000000001,0.19584000000000001,0.3398400000000002,0.02304,0.04032
1.9,19,136.0,236.0000000000001,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.0,20,136.0,236.0000000000001,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.1,21,136.0,236.0000000000001,0.19584000000000001,0.3398400000000002,0.02304,0.04032
2.2,22,136.0,216.00000000000006,0.19584000000000001,0.3110400000000001,0.02304,0.034560000000000084
2.3,23,132.0,212.0,0.19008,0.30528,0.01728,0.028800000000000003
2.4,24,128.0,204.00000000000006,0.18432,0.2937600000000001,0.02304,0.028800000000000082
2.5,25,120.0,204.00000000000006,0.1728,0.2937600000000001,0.01152,0.028800000000000082
2.6,26,120.0,200.00000000000006,0.1728,0.2880000000000001,0.01152,0.023040000000000085
2.7,27,120.0,196.00000000000006,0.1728,0.2822400000000001,0.01152,0.017280000000000083
2.8,28,116.0,196.00000000000006,0.16704000000000002,0.2822400000000001,0.01728,0.017280000000000083
2.9,29,116.0,192.0,0.16704000000000002,0.27648,0.01728,0.01152
3.0,30,104.0,188.0,0.14976,0.27072,0.02304,0.01728
3.1,31,100.0,184.0,0.14400000000000002,0.26496000000000003,0.01728,0.02304
3.2,32,100.0,184.0,0.14400000000000002,0.26496000000000003,0.01728,0.02304
3.3,33,100.0,180.0,0.14400000000000002,0.25920000000000004,0.01728,0.028800000000000003
3.4,34,96.0,176.0,0.13824,0.25344,0.01152,0.02304
3.5,35,96.0,176.0,0.13824,0.25344,0.01152,0.02304
3.6,36,96.0,172.0,0.13824,0.24768,0.01152,0.01728
3.7,37,96.0,172.0,0.13824,0.24768,0.01152,0.01728
3.8,38,96.0,164.0,0.13824,0.23616,0.01152,0.028800000000000003
3.9,39,92.0,156.0,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.0,40,92.0,156.0,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.1,41,92.0,156.0,0.13248000000000001,0.22464,0.01728,0.028800000000000003
4.2,42,88.0,156.0,0.12672,0.22464,0.01152,0.028800000000000003
4.3,43,88.0,156.0,0.12672,0.22464,0.01152,0.028800000000000003
4.4,44,88.0,152.0,0.12672,0.21888000000000002,0.01152,0.02304
4.5,45,84.0,148.0,0.12096000000000001,0.21312,0.00576,0.028800000000000003
4.6,46,80.0,148.0,0.11520000000000001,0.21312,0.01152,0.028800000000000003
4.7,47,80.0,148.0,0.11520000000000001,0.21312,0.01152,0.028800000000000003
4.8,48,80.0,144.0,0.11520000000000001,0.20736000000000002,0.01152,0.02304
4.9,49,80.0,144.0,0.11520000000000001,0.20736000000000002,0.01152,0.02304
5.0,50,80.0,140.0,0.11520000000000001,0.2016,0.01152,0.028800000000000003
