Volts,r,R,delta_r,delta_R,lambda_tension,lambda_tension_uncertainty,lambda_d1,lambda_d1_uncertainty,lambda_d2,lambda_d2_uncertainty
1.5,0.2016,0.3571200000000001,0.0288,0.04608,10.0,0.3333333333333333,9.542399999999997,1.3803216640253735,9.761280000000001,1.280524021446081
1.6,0.2016,0.3513600000000001,0.0288,0.05184,9.682458365518542,0.30257682392245444,9.542399999999997,1.3803216640253735,9.603840000000002,1.4350678225372406
1.7,0.2016,0.3456000000000002,0.0288,0.04608,9.393364366277241,0.27627542253756593,9.542399999999997,1.3803216640253735,9.446400000000004,1.2792010306437374
1.8,0.19584,0.3398400000000002,0.02304,0.04032,9.128709291752768,0.2535752581042436,9.269759999999998,1.1106974865799917,9.288960000000005,1.1237852836085331
1.9,0.19584,0.3398400000000002,0.02304,0.04032,8.885233166386385,0.23382192543122068,9.269759999999998,1.1106974865799917,9.288960000000005,1.1237852836085331
2.0,0.19584,0.3398400000000002,0.02304,0.04032,8.660254037844387,0.2165063509461097,9.269759999999998,1.1106974865799917,9.288960000000005,1.1237852836085331
2.1,0.19584,0.3398400000000002,0.02304,0.04032,8.451542547285166,0.2012272035067897,9.269759999999998,1.1106974865799917,9.288960000000005,1.1237852836085331
2.2,0.19584,0.3110400000000001,0.02304,0.03456,8.257228238447704,0.18766427814653872,9.269759999999998,1.1106974865799917,8.50176,0.9658240487707891
2.3,0.19008,0.30528,0.01728,0.0288,8.075728530872484,0.17555931588853227,8.997119999999999,0.8430609397285584,8.34432,0.8115849575124248
2.4,0.18432,0.2937600000000001,0.02304,0.0288,7.905694150420948,0.16470196146710311,8.724479999999998,1.108416553277893,8.029440000000001,0.8098044807384063
2.5,0.1728,0.2937600000000001,0.01152,0.0288,7.745966692414834,0.15491933384829668,8.1792,0.5760568860798385,8.029440000000001,0.8098044807384063
2.6,0.1728,0.2880000000000001,0.01152,0.02304,7.5955452531275,0.14606817794475963,8.1792,0.5760568860798385,7.872000000000002,0.6567307886121306
2.7,0.1728,0.2822400000000001,0.01152,0.01728,7.453559924999299,0.138028887499987,8.1792,0.5760568860798385,7.714560000000001,0.5063692582840223
2.8,0.16704,0.2822400000000001,0.01728,0.01728,7.319250547113999,0.1307009026270357,7.906559999999999,0.8374019222184237,7.714560000000001,0.5063692582840223
2.9,0.16704,0.27648,0.01728,0.01152,7.191949522280762,0.12399912969449592,7.906559999999999,0.8374019222184237,7.557119999999999,0.36211433014450006
3.0,0.14976,0.27072,0.02304,0.01728,7.0710678118654755,0.11785113019775793,7.08864,1.102380561621883,7.399679999999999,0.5037311233126038
3.1,0.144,0.26496,0.01728,0.02304,6.9560834364025235,0.11219489413552457,6.815999999999998,0.8324417562274918,7.242239999999998,0.6526605292404654
3.2,0.144,0.26496,0.01728,0.02304,6.846531968814577,0.10697706201272777,6.815999999999998,0.8324417562274918,7.242239999999998,0.6526605292404654
3.3,0.144,0.2592,0.01728,0.0288,6.741998624632421,0.10215149431261246,6.815999999999998,0.8324417562274918,7.084799999999999,0.8048533739756577
3.4,0.13824,0.25344,0.01152,0.02304,6.642111641550715,0.09767811237574582,6.543359999999999,0.565170313502045,6.927359999999999,0.65074383140253
3.5,0.13824,0.25344,0.01152,0.02304,6.546536707079771,0.09352195295828246,6.543359999999999,0.565170313502045,6.927359999999999,0.65074383140253
3.6,0.13824,0.24768,0.01152,0.01728,6.454972243679028,0.08965239227331984,6.543359999999999,0.565170313502045,6.769919999999999,0.49874700996976185
3.7,0.13824,0.24768,0.01152,0.01728,6.367145399670133,0.08604250540094774,6.543359999999999,0.565170313502045,6.769919999999999,0.49874700996976185
3.8,0.13824,0.23616,0.01152,0.0288,6.282808624375432,0.08266853453125571,6.543359999999999,0.565170313502045,6.455039999999999,0.8018818828575134
3.9,0.13248,0.22464,0.01728,0.0288,6.201736729460423,0.0795094452494926,6.270719999999998,0.8302277258080726,6.14016,0.8004960356578912
4.0,0.13248,0.22464,0.01728,0.0288,6.123724356957945,0.07654655446197432,6.270719999999998,0.8302277258080726,6.14016,0.8004960356578912
4.1,0.13248,0.22464,0.01728,0.0288,6.048583789091339,0.0737632169401383,6.270719999999998,0.8302277258080726,6.14016,0.8004960356578912
4.2,0.12672,0.22464,0.01152,0.0288,5.976143046671968,0.07114456007942818,5.998079999999999,0.5620406264857055,6.14016,0.8004960356578912
4.3,0.12672,0.22464,0.01152,0.0288,5.906244232186183,0.06867725851379283,5.998079999999999,0.5620406264857055,6.14016,0.8004960356578912
4.4,0.12672,0.21888,0.01152,0.02304,5.8387420812114215,0.06634934183194797,5.998079999999999,0.5620406264857055,5.982719999999999,0.6454758186282253
4.5,0.12096,0.21312,0.00576,0.0288,5.773502691896258,0.06415002990995843,5.72544,0.3020647046975201,5.82528,0.799177254869309
4.6,0.1152,0.21312,0.01152,0.0288,5.710402407201608,0.06206959138262618,5.452799999999999,0.5591677879770177,5.82528,0.799177254869309
4.7,0.1152,0.21312,0.01152,0.0288,5.64932682866032,0.060099221581492765,5.452799999999999,0.5591677879770177,5.82528,0.799177254869309
4.8,0.1152,0.20736,0.01152,0.02304,5.5901699437494745,0.05823093691405703,5.452799999999999,0.5591677879770177,5.667839999999998,0.6438826991805261
4.9,0.1152,0.20736,0.01152,0.02304,5.532833351724881,0.05645748318086614,5.452799999999999,0.5591677879770177,5.667839999999998,0.6438826991805261
5.0,0.1152,0.2016,0.01152,0.0288,5.477225575051661,0.05477225575051662,5.452799999999999,0.5591677879770177,5.510399999999999,0.7979258730260875
