ν (MHz),V_passiva (V),V_ativa (V)
"46,69","0,576","3,74"
"47,95","0,664","3,72"
"49,21","0,800","3,61"
"49,68","0,864","3,52"
"50,30","0,960","3,36"
"51,18","1,140","2,91"
"51,60","1,210","2,47"
"52,09","1,220","2,01"
"52,23","1,220","1,85"
"52,35","1,210","1,74"
"52,40","1,200","1,67"
"52,91","1,160","1,59"
"53,12","1,160","1,77"
"53,37","1,150","2,06"
"53,94","1,040","2,71"
"54,75","0,792","3,27"
"55,07","0,704","3,39"
"55,92","0,520","3,57"
"56,79","0,392","3,65"
"57,67","0,288","3,66"
