ν (MHz),V_passiva (V),V_ativa (V),,"46,88"
"38,76","0,520","3,58",,
"40,11","0,552","3,62",,
"41,53","0,576","3,65",,
"42,20","0,616","3,65",,
"43,08","0,680","3,63",,
"44,38","0,800","3,56",,
"45,02","0,920","3,48",,
"45,55","1,010","3,35",,
"46,28","1,180","3,04",,
"46,60","1,250","2,75",,
"46,75","1,300","2,65",,
"47,00","1,340","2,35",,
"47,23","1,320","2,02",,
"47,34","1,300","1,85",,
"47,43","1,290","1,73",,
"48,10","1,180","1,41",,
"48,31","1,210","1,66",,
"48,53","1,210","1,98",,
"48,85","1,150","2,43",,
"49,64","0,880","3,18",,
"50,51","0,632","3,52",,
"50,92","0,544","3,59",,
